,subj_idx,trial_PE,trial_TR_PE,trial_TI_PE,rt,pupil_response_1,pupil_response_2,missed_response,response
10620,26,PU,0,1,0.758501131304,0.825634165068,0.833438886309,0,1.0
10621,26,PP,0,0,0.900193868994,0.259371810546,1.11642411954,0,0.0
10622,26,PP,0,0,0.541901198972,2.04035228876,2.93472052242,0,1.0
10623,26,PP,0,0,0.833514801554,0.981885394817,1.20008926315,0,1.0
10624,26,PU,0,1,0.916890334933,1.93324158313,2.68379877375,0,0.0
10625,26,UU,1,1,1.43351383942,0.88597523193,2.49132268979,0,0.0
10626,26,PP,0,0,0.675171138695,1.32010480102,2.91261085996,0,1.0
10627,26,UP,1,0,0.433518970778,1.67158551238,1.40352355414,0,0.0
10628,26,UU,1,1,0.691873056699,0.536784052984,0.968558559975,0,1.0
10629,26,PP,0,0,1.55018352611,1.51482727643,0.580898052722,0,1.0
10630,26,UU,1,1,1.40018120096,2.73253074037,2.12761792555,0,1.0
10631,26,UU,1,1,0.95850369698,1.22296573737,1.24846372946,0,1.0
10632,26,PU,0,1,0.500180719897,1.2719049976,1.52584913321,0,1.0
10633,26,PP,0,0,0.558520373883,0.95081865512,0.683392221891,0,1.0
10634,26,UP,1,0,0.466843912209,0.34302529085,1.19266482778,0,1.0
10635,26,PP,0,0,1.72518998039,2.13623410145,0.955594093415,0,0.0
10636,26,UP,1,0,0.525249311677,1.74502532835,4.20163918866,0,1.0
10637,26,PU,0,1,0.491823025992,2.67575491806,0.828745626898,0,1.0
10638,26,PP,0,0,1.23349491755,0.399833168781,2.11022110271,0,1.0
10639,26,PP,0,0,1.02519559281,0.685864799305,0.549244169423,0,1.0
10640,26,PP,0,0,1.14189991613,0.893377949057,2.41697054195,0,0.0
10641,26,PP,0,0,0.633398063233,0.432856204546,2.56884943156,0,0.0
10642,26,PP,0,0,1.95021142785,0.688947177722,3.29019176419,0,1.0
10643,26,PP,0,0,0.925046302458,0.962800336756,3.32853504374,0,1.0
10644,26,UP,1,0,0.633522177874,0.708332766039,3.24232717445,0,0.0
10645,26,UP,1,0,1.16683733766,1.55645933525,3.69408990018,0,1.0
10646,26,PP,0,0,0.600158109866,1.51359708388,1.46933914709,0,1.0
10647,26,UP,1,0,0.558487661498,0.716917294532,0.885148009232,0,1.0
10648,26,PP,0,0,0.533547674293,0.594484072346,0.70644665017,0,1.0
10649,26,PP,0,0,1.25018721427,0.557168528958,2.89310526197,0,1.0
10650,26,PP,0,0,0.841864798427,1.95727375973,2.125775804,0,1.0
10651,26,PP,0,0,0.641968066939,2.12807392353,3.39293505869,0,1.0
10652,26,PP,0,0,1.53354029797,0.557341660551,1.14158917915,0,1.0
10653,26,PP,0,0,0.61680999716,2.08140669755,1.61353195087,0,1.0
10654,26,PP,0,0,1.34184315053,0.446608728957,1.38268371631,0,0.0
