,subj_idx,TR_PE,TI_PE,rt,pupil_response,missed_response,response
91,0,1,0,1.57525475881,0.0030989325484556685,0,1.0
92,0,0,0,1.10860055762,0.6653488031122127,0,0.0
93,0,1,1,2.30030093501,0.9373528710107562,0,1.0
94,0,1,0,0.691873087082,0.714446438967395,0,0.0
95,0,1,1,1.40024676478,0.4326362891723419,0,1.0
96,0,1,1,1.80863638244,-1.043462904366196,0,0.0
97,0,1,0,1.40857114726,-0.6888610764462697,0,1.0
98,0,0,0,1.70861357899,1.720477988046715,0,1.0
99,0,0,0,1.24190581693,-0.8310248775575746,0,0.0
100,0,1,0,1.44191325772,-1.34939100097787,0,1.0
101,0,0,1,1.25860750127,-0.6065208434838867,0,1.0
102,0,1,1,1.08368353684,3.2858172424461607,0,0.0
103,0,0,0,0.958591048155,-2.5700634415190793,0,1.0
