,Percentage correct,TI,TR,prediction_error,subID
70,0.7222222222222222,1,0,T-Irrelevant,4
71,0.8333333333333334,1,0,T-Irrelevant,5
72,0.7777777777777778,1,0,T-Irrelevant,6
73,0.7941176470588235,1,0,T-Irrelevant,7
74,0.8611111111111112,1,0,T-Irrelevant,8
75,0.7777777777777778,1,0,T-Irrelevant,9
76,0.75,1,0,T-Irrelevant,10
77,0.8055555555555556,1,0,T-Irrelevant,11
78,0.7105263157894737,1,0,T-Irrelevant,12
79,0.8536585365853658,1,0,T-Irrelevant,13
80,0.9014084507042254,1,0,T-Irrelevant,14
81,0.9210526315789473,1,0,T-Irrelevant,15
82,0.7636363636363637,1,0,T-Irrelevant,16
83,0.7464788732394366,1,0,T-Irrelevant,17
84,0.8194444444444444,1,0,T-Irrelevant,18
85,0.7323943661971831,1,0,T-Irrelevant,19
86,0.8604651162790697,1,0,T-Irrelevant,20
87,0.8297872340425532,1,0,T-Irrelevant,21
88,0.8936170212765957,1,0,T-Irrelevant,22
89,0.8333333333333334,1,0,T-Irrelevant,23
90,0.6521739130434783,1,0,T-Irrelevant,24
91,0.8541666666666666,1,0,T-Irrelevant,25
92,0.8088235294117647,1,0,T-Irrelevant,26
93,0.9074074074074074,1,0,T-Irrelevant,27
94,0.8611111111111112,1,0,T-Irrelevant,28
95,0.7361111111111112,1,0,T-Irrelevant,29
96,0.7121212121212122,1,0,T-Irrelevant,30
97,0.8591549295774648,1,0,T-Irrelevant,31
98,0.7464788732394366,1,0,T-Irrelevant,32
99,0.8285714285714286,1,1,Combined,0
100,0.7777777777777778,1,1,Combined,1
101,0.6666666666666666,1,1,Combined,2
102,0.8333333333333334,1,1,Combined,3
103,0.75,1,1,Combined,4
104,0.7777777777777778,1,1,Combined,5
105,0.9444444444444444,1,1,Combined,6
106,0.7931034482758621,1,1,Combined,7
107,0.6666666666666666,1,1,Combined,8
108,0.8857142857142857,1,1,Combined,9
109,0.6944444444444444,1,1,Combined,10
110,0.7777777777777778,1,1,Combined,11
111,0.7380952380952381,1,1,Combined,12
112,0.8857142857142857,1,1,Combined,13
113,0.8285714285714286,1,1,Combined,14
114,0.84375,1,1,Combined,15
115,0.7192982456140351,1,1,Combined,16
116,0.7777777777777778,1,1,Combined,17
117,0.8591549295774648,1,1,Combined,18
118,0.7857142857142857,1,1,Combined,19
119,0.8809523809523809,1,1,Combined,20
120,0.8666666666666667,1,1,Combined,21
121,0.8541666666666666,1,1,Combined,22
122,0.8055555555555556,1,1,Combined,23
123,0.7352941176470589,1,1,Combined,24
124,0.7916666666666666,1,1,Combined,25
125,0.8235294117647058,1,1,Combined,26
126,0.7719298245614035,1,1,Combined,27
127,0.8732394366197183,1,1,Combined,28
128,0.7777777777777778,1,1,Combined,29
129,0.6875,1,1,Combined,30
130,0.8194444444444444,1,1,Combined,31
131,0.7638888888888888,1,1,Combined,32
